"Bezeichnung (singular)","Bezeichnung (plural)","Version","Beschreibung","Daten-Profil Typ","Tabellen-Name","Reihenfolge","Symbol","Reorgzeiten konfigurieren","API-Name","Eltern Daten-Profil","Erstellt am","Erstellt von","Geändert am","Geändert von"
"Matrix (Korrektur)","Matrix (Korrektur)","","","Stammdaten","correction_matrix","","mdi-table-filter","Nein","correction-matrix","Buchungskreis Vorgang","28.07.2026 14:34:21 Uhr","","31.07.2026 11:50:00 Uhr","Jonathan Schummer"
"Matrix (Prüfplan)","Matrix (Prüfplan)","","","Stammdaten","ac35ea","19","mdi-table-filter","Nein","","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Matrix (Text)","Matrix (Text)","","","Stammdaten","text_matrix","14","mdi-table-filter","Nein","text-matrix","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Matrix (VAS)","Matrix (VAS)","","","Stammdaten","vas_matrix","17","mdi-table-filter","Nein","vas-matrix","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Matrix (Vorgang)","Matrix (Vorgang)","","","Stammdaten","task_matrix","1","mdi-table-filter","Nein","task-matrix","Buchungskreis Vorgang","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Matrix (Wirtschaftszone)","Matrix (Wirtschaftszone)","","","Stammdaten","matrix_economic_zone","0","mdi-table-filter","Nein","matrix-economic-zone","Buchungskreis Zoll","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Matrix (Zollverfahren)","Matrix (Zollverfahren)","","","Stammdaten","matrix_customs_procedure","2","mdi-table-filter","Nein","matrix-customs-procedure","Buchungskreis Zoll","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Meldung","Meldungen","","","Bewegungsdaten","26bdf3","","mdi-bell-ring-outline","Nein","","Handling-Unit","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Modifikationgrund (Bestandsart)","Modifikationgründe (Bestandsart)","","","Stammdaten","modification_cause","","mdi-tooltip-text","Nein","modification-cause","Art (Bestand)","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Modifikationsgrund (Auftrag)","Modifikationsgründe (Auftrag)","","","Stammdaten","modification_reason","24","mdi-tooltip-text-outline","Nein","modification-reason","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
